"표번호","","","추이4-4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"지표명","","","정신문제상담경험률","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"지표정의","","","최근 1년 동안 정신적인 문제 때문에 방문, 전화, 인터넷 등을 통해 상담을 받은 적이 있는 분율","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"분자","","","최근 1년 동안 정신적인 문제 때문에 방문, 전화, 인터넷 등을 통해 상담을 받아 본 적이 있다고 응답한 사람 수","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"분모","","","19세이상 분석대상자 수","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"비고","","","1) 2005년 추계인구로 연령표준화
2) 소득수준 : 월가구균등화소득(월가구소득/√가구원수)을 성별·연령별(5세단위) 오분위로 분류
3) 분율 0.1%미만으로 표준오차 비제시
※ 변동계수(coefficient of variation) : * 25-50%, ** 50% 이상","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(단위 : %)",""
"","구 분","","’98","","","’01","","","’05","","","’07","","","’08","","","’09","","","’10","","","’11","","","’12","","","’13","","","’14","","","’15","","","’16","","","’17","","","’18","","","’19","","","’20","","","’21","","","’22","","","’23","",""
"","","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)","","n","분율(표준오차)",""
"","전체","19세이상","-","-","-","-","-","-","7,801","1.4","(0.2)","2,977","1.6","(0.3)","6,794","2.1","(0.2)","7,480","2.2","(0.2)","6,255","2.2","(0.2)","6,026","2.4","(0.2)","5,591","2.5","(0.2)","-","-","-","-","-","-","5,407","2.5","(0.2)","6,014","3.3","(0.3)","6,116","2.8","(0.2)","6,185","2.8","(0.3)","6,192","3.3","(0.3)","5,857","3.5","(0.3)","5,634","3.8","(0.3)","5,256","4.3","(0.3)","5,766","4.5","(0.3)"
"","","19세이상(표준화)1)","-","-","-","-","-","-","7,801","1.4","(0.2)","2,977","1.6","(0.3)","6,794","2.1","(0.2)","7,480","2.2","(0.2)","6,255","2.2","(0.2)","6,026","2.4","(0.3)","5,591","2.5","(0.3)","-","-","-","-","-","-","5,407","2.5","(0.3)","6,014","3.4","(0.3)","6,116","2.8","(0.3)","6,185","2.9","(0.3)","6,192","3.4","(0.3)","5,857","3.9","(0.3)","5,634","4.1","(0.4)","5,256","4.9","(0.4)","5,766","5.3","(0.4)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","연령(세)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 19-29","-","-","-","-","-","-","1,336","1.4","(0.3)","339","1.6","(0.7)*","892","1.7","(0.4)*","1,049","2.4","(0.5)","771","3.0","(0.6)","678","3.1","(0.8)*","637","2.3","(0.6)*","-","-","-","-","-","-","682","2.6","(0.6)","695","3.1","(0.7)","724","4.2","(0.8)","762","3.5","(0.8)","749","4.7","(0.8)","798","4.9","(0.8)","673","4.2","(0.8)","613","7.4","(1.1)","607","8.5","(1.0)"
"",""," 30-39","-","-","-","-","-","-","1,742","1.4","(0.3)","633","2.5","(0.7)*","1,412","3.0","(0.5)","1,425","2.3","(0.5)","1,254","2.2","(0.5)","1,098","1.7","(0.5)*","960","2.9","(0.7)","-","-","-","-","-","-","745","2.4","(0.5)","1,078","4.6","(0.6)","904","2.2","(0.5)","909","2.9","(0.5)","916","2.8","(0.6)","766","5.2","(0.8)","646","5.6","(1.1)","664","5.8","(1.0)","672","6.3","(0.9)"
"",""," 40-49","-","-","-","-","-","-","1,877","1.2","(0.3)","564","1.4","(0.5)*","1,328","1.8","(0.4)","1,495","2.2","(0.4)","1,162","1.9","(0.5)*","1,056","2.0","(0.5)*","958","3.1","(0.7)","-","-","-","-","-","-","951","2.1","(0.5)","1,123","3.3","(0.6)","1,122","2.3","(0.5)","1,127","2.9","(0.5)","1,107","3.5","(0.7)","965","3.4","(0.6)","955","3.4","(0.6)","861","4.8","(0.8)","967","4.2","(0.7)"
"",""," 50-59","-","-","-","-","-","-","1,229","1.9","(0.5)*","504","1.3","(0.7)*","1,132","1.5","(0.4)*","1,248","1.9","(0.5)","1,174","2.1","(0.5)","1,184","2.8","(0.6)","1,067","1.7","(0.5)*","-","-","-","-","-","-","1,131","2.8","(0.5)","1,092","2.6","(0.6)","1,204","2.5","(0.5)","1,187","2.0","(0.4)","1,167","3.1","(0.5)","1,060","2.4","(0.5)","1,027","3.8","(0.7)","917","3.5","(0.7)","1,096","3.8","(0.7)"
"",""," 60-69","-","-","-","-","-","-","970","1.7","(0.5)*","489","1.6","(0.6)*","1,077","2.0","(0.5)","1,207","2.4","(0.7)*","1,025","1.7","(0.4)*","1,023","2.7","(0.6)","1,004","2.1","(0.5)","-","-","-","-","-","-","992","3.8","(0.6)","998","2.0","(0.5)","1,090","2.1","(0.5)","1,101","2.8","(0.6)","1,112","2.3","(0.5)","1,113","2.4","(0.6)*","1,109","3.0","(0.6)","1,122","1.7","(0.4)","1,317","2.0","(0.4)"
"",""," 70+","-","-","-","-","-","-","647","1.4","(0.5)*","448","0.5","(0.3)**","953","2.5","(0.6)","1,056","2.0","(0.5)","869","1.3","(0.4)*","987","2.0","(0.6)*","965","2.5","(0.7)*","-","-","-","-","-","-","906","1.6","(0.5)*","1,028","4.1","(0.8)","1,072","3.3","(0.6)","1,099","3.3","(0.6)","1,141","3.2","(0.7)","1,155","2.8","(0.6)","1,224","2.8","(0.6)","1,079","2.0","(0.6)*","1,107","2.5","(0.5)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",""," 19-64","-","-","-","-","-","-","6,704","1.4","(0.2)","2,256","1.8","(0.3)","5,284","2.0","(0.2)","5,824","2.2","(0.2)","4,881","2.3","(0.3)","4,562","2.4","(0.3)","4,161","2.5","(0.3)","-","-","-","-","-","-","4,023","2.6","(0.3)","4,488","3.3","(0.3)","4,528","2.7","(0.3)","4,596","2.8","(0.3)","4,538","3.4","(0.3)","4,217","3.7","(0.3)","3,875","4.1","(0.4)","3,628","4.8","(0.4)","4,013","5.1","(0.4)"
"",""," 65+","-","-","-","-","-","-","1,097","1.6","(0.4)*","721","0.8","(0.3)*","1,510","2.4","(0.4)","1,656","2.3","(0.4)","1,374","1.4","(0.3)","1,464","2.2","(0.5)","1,430","2.4","(0.5)","-","-","-","-","-","-","1,384","2.2","(0.4)","1,526","3.6","(0.6)","1,588","3.0","(0.4)","1,589","3.0","(0.5)","1,654","2.8","(0.5)","1,640","2.7","(0.4)","1,759","2.6","(0.5)","1,628","2.1","(0.5)","1,753","2.2","(0.4)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","거주지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
