rank,title,price
1,(신선집중) 달콤한 허니듀 멜론 대사이즈 1.8kg 2과 총 3.6kg 내외 (7/31일부터 예약발송),17480
2,갈비탕 700g x 5팩(실온보관),16390
3,(신선집중) 닥터안스에그 햇달걀 60구 /중란 무항생제 계란,14510
4,나이키 남녀공용 야구/골프 모자 블랙 화이트 913011 헤리티지86 892651 레거시91 1+1할인판매,12710
5,라인바싸 탄산음료 500ml PET 3종 택 2박스 (총40입) 먹는샘물로 만들어 미네랄이 살아있는 강탄산음료,11780
6,1+1 거창 꿀 사과 5KG 대과 (총 10KG 발송) 초특가 행사중,31220
7,엘라스틴 스칼프클리닉 두피 딥클렌징 샴푸 950ml 2개,12900
8,필립스 알카라인 AA건전지 AAA건전지 외 4종,9900
9,(FIFA1904/푸마) 백화점의류 창고대방출 반팔/반바지/스니커즈/쪼리 6900원부터~,7900
10,파로돈탁스 데일리 후로라이드 잇몸치약 100g x6개 (최종혜택가 18600원),18600
11,(10%+10%) 신상품런칭 테리파머 유럽형 고중량 200g 스트라이프 호텔수건 5장 선염 수건세트 수건 타월,18320
12,어스본코리아 태엽 토이북 시리즈 선택구매 자동차/기차/소방차/트랙터/비행기/헬리콥터/무당벌레,26250
13,(김해장미) 장미 10송이 생화 꽃 농가 직접판매  데일리꽃 농장직송 김해장미 특가,7900
14,(신선집중) 22% / 정남진 장흥 농협쌀조합 산들해랑 백미 새청무 10kg 당일도정 2024년 햅쌀,26840
15,(신선집중) 제주 미니밤호박(단호박) 보우짱 4kg 로얄과(6-20과) 실중량 / 2개 구매시 1kg 추가증정,12260
16,곱창파는청년들 삼계탕 1kg x 4팩 (실온보관),18660
17,(오늘만 하나더) 맥퀸뉴욕 워터프루프 타투 펜라이너 1+1/1+1+1 2컬러 /번지지않는 아이라인 타투펜,8840
18,(20%+10%)5530원~알트베니/여성의류/홈쇼핑/ 빅사이즈/원피스/미시룩/티셔츠/팬츠/스커트/바캉스,6930
19,(신선집중) 완도 산지직송삼삼한 현탑수산 완도 활전복9-10미 산소포장 +전복 손질칼 증정,22790
20,(강빈맘 강력추천) 오싹시리즈+대장토끼 시리즈,29400
21,20입+20입 하늘보리/옥수수수염차/카무트현미차/결명자차 외 7종 500ml 20+20 골라담기,22710
22,(쿠폰적용 2880원~)베베쥬 20%쿠폰/여름 클리어런스 특가전/전상품 무료배송,7520
23,제주삼다수 2L 12병 /생수전문배송 (유라벨/무라벨 랜덤출고),11500
24,1+1 1350ml 트리플에스 탈모완화샴푸 비오틴 두피케어 약산성 기능성화장품,19920
25,3겹 뽑아쓰는 키친타올 100매 X 9팩 (중복10%쿠폰) 더커진 무형광 천연펄프 100% 키친타월 주방용품,8730
26,(신선집중) 견과류 당일볶음아몬드500gx2봉 24년산 햇견과,15750
