"url","http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_345c55d05a77fdbee79e3f3f071b334f","",""
"주제","통검","",""
"범위","합계","",""
"기간","일간 : 2024-01-01 ~ 2024-12-31","",""
"성별","전체(여성,남성)","",""
"연령대","25~29, 30~34","",""
"날짜","불면증","날짜","스트레스"
"2024-01-01","15.8192","2024-01-01","44.06779"
"2024-01-02","16.94915","2024-01-02","49.43502"
"2024-01-03","18.07909","2024-01-03","100.0"
"2024-01-04","17.51412","2024-01-04","50.84745"
"2024-01-05","17.79661","2024-01-05","48.58757"
"2024-01-06","9.32203","2024-01-06","44.06779"
"2024-01-07","12.99435","2024-01-07","42.65536"
"2024-01-08","15.53672","2024-01-08","46.32768"
"2024-01-09","12.14689","2024-01-09","59.32203"
"2024-01-10","14.68926","2024-01-10","50.56497"
"2024-01-11","19.20903","2024-01-11","59.32203"
"2024-01-12","14.12429","2024-01-12","46.32768"
"2024-01-13","13.27683","2024-01-13","37.57062"
"2024-01-14","13.8418","2024-01-14","37.8531"
"2024-01-15","16.66666","2024-01-15","57.62711"
"2024-01-16","18.36158","2024-01-16","64.97175"
"2024-01-17","15.53672","2024-01-17","54.80225"
"2024-01-18","18.07909","2024-01-18","53.9548"
"2024-01-19","13.27683","2024-01-19","48.87005"
"2024-01-20","12.99435","2024-01-20","39.54802"
"2024-01-21","9.887","2024-01-21","40.96045"
"2024-01-22","18.92655","2024-01-22","52.82485"
"2024-01-23","21.18644","2024-01-23","54.51977"
"2024-01-24","15.8192","2024-01-24","47.17514"
"2024-01-25","15.53672","2024-01-25","48.58757"
"2024-01-26","12.71186","2024-01-26","49.71751"
"2024-01-27","11.29943","2024-01-27","40.96045"
"2024-01-28","13.27683","2024-01-28","48.87005"
"2024-01-29","15.8192","2024-01-29","56.49717"
"2024-01-30","18.64406","2024-01-30","59.03954"
"2024-01-31","15.8192","2024-01-31","52.82485"
"2024-02-01","15.25423","2024-02-01","59.03954"
"2024-02-02","16.38418","2024-02-02","51.9774"
"2024-02-03","12.42937","2024-02-03","43.78531"
"2024-02-04","10.16949","2024-02-04","47.45762"
"2024-02-05","18.64406","2024-02-05","54.80225"
"2024-02-06","16.10169","2024-02-06","52.82485"
"2024-02-07","16.38418","2024-02-07","60.16949"
"2024-02-08","14.97175","2024-02-08","43.22033"
"2024-02-09","9.887","2024-02-09","34.18079"
"2024-02-10","8.19209","2024-02-10","34.46327"
"2024-02-11","10.45197","2024-02-11","39.26553"
"2024-02-12","12.14689","2024-02-12","45.19774"
"2024-02-13","18.64406","2024-02-13","53.38983"
"2024-02-14","12.71186","2024-02-14","53.9548"
"2024-02-15","14.68926","2024-02-15","55.9322"
"2024-02-16","15.8192","2024-02-16","46.04519"
"2024-02-17","16.66666","2024-02-17","39.8305"
"2024-02-18","16.10169","2024-02-18","39.26553"
"2024-02-19","18.64406","2024-02-19","51.41242"
"2024-02-20","16.10169","2024-02-20","56.21468"
"2024-02-21","18.07909","2024-02-21","50.84745"
"2024-02-22","12.42937","2024-02-22","49.71751"
"2024-02-23","14.12429","2024-02-23","46.61016"
"2024-02-24","9.887","2024-02-24","37.28813"
"2024-02-25","11.29943","2024-02-25","44.06779"
"2024-02-26","14.97175","2024-02-26","59.32203"
"2024-02-27","16.38418","2024-02-27","47.45762"
"2024-02-28","14.12429","2024-02-28","55.64971"
"2024-02-29","11.8644","2024-02-29","48.58757"
"2024-03-01","13.8418","2024-03-01","37.00564"
"2024-03-02","8.75706","2024-03-02","37.8531"
"2024-03-03","13.27683","2024-03-03","41.24293"
"2024-03-04","16.66666","2024-03-04","66.38418"
"2024-03-05","18.92655","2024-03-05","58.47457"
"2024-03-06","14.40677","2024-03-06","53.9548"
"2024-03-07","14.97175","2024-03-07","54.80225"
"2024-03-08","14.97175","2024-03-08","50.0"
"2024-03-09","11.29943","2024-03-09","36.44067"
"2024-03-10","15.53672","2024-03-10","40.39548"
"2024-03-11","19.49152","2024-03-11","60.45197"
"2024-03-12","13.8418","2024-03-12","57.06214"
"2024-03-13","11.58192","2024-03-13","54.80225"
"2024-03-14","16.10169","2024-03-14","65.53672"
"2024-03-15","18.07909","2024-03-15","49.71751"
"2024-03-16","13.8418","2024-03-16","41.8079"
"2024-03-17","8.19209","2024-03-17","43.50282"
"2024-03-18","18.92655","2024-03-18","61.01694"
"2024-03-19","15.25423","2024-03-19","62.14689"
"2024-03-20","14.97175","2024-03-20","64.68926"
"2024-03-21","15.25423","2024-03-21","62.42937"
"2024-03-22","14.97175","2024-03-22","51.9774"
