"url","http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_2765eb62a232e61ea774c1d8a2411427","",""
"주제","통검","",""
"범위","합계","",""
"기간","일간 : 2024-01-01 ~ 2024-12-31","",""
"성별","남성","",""
"연령대","25~29, 30~34","",""
"날짜","빵","날짜","우울"
"2024-01-01","65.41353","2024-01-01","55.63909"
"2024-01-02","65.41353","2024-01-02","42.85714"
"2024-01-03","63.90977","2024-01-03","50.37593"
"2024-01-04","60.90225","2024-01-04","43.60902"
"2024-01-05","69.92481","2024-01-05","44.3609"
"2024-01-06","64.66165","2024-01-06","36.09022"
"2024-01-07","74.43609","2024-01-07","35.33834"
"2024-01-08","49.62406","2024-01-08","37.59398"
"2024-01-09","74.43609","2024-01-09","43.60902"
"2024-01-10","67.66917","2024-01-10","35.33834"
"2024-01-11","60.15037","2024-01-11","54.88721"
"2024-01-12","55.63909","2024-01-12","36.09022"
"2024-01-13","64.66165","2024-01-13","41.35338"
"2024-01-14","68.42105","2024-01-14","25.5639"
"2024-01-15","48.1203","2024-01-15","46.61654"
"2024-01-16","60.90225","2024-01-16","54.13533"
"2024-01-17","62.40601","2024-01-17","50.37593"
"2024-01-18","69.92481","2024-01-18","44.3609"
"2024-01-19","58.64661","2024-01-19","39.09774"
"2024-01-20","73.68421","2024-01-20","33.83458"
"2024-01-21","83.45864","2024-01-21","36.09022"
"2024-01-22","61.65413","2024-01-22","45.86466"
"2024-01-23","61.65413","2024-01-23","48.87218"
"2024-01-24","55.63909","2024-01-24","35.33834"
"2024-01-25","55.63909","2024-01-25","41.35338"
"2024-01-26","51.87969","2024-01-26","45.11278"
"2024-01-27","66.91729","2024-01-27","33.0827"
"2024-01-28","81.203","2024-01-28","44.3609"
"2024-01-29","59.39849","2024-01-29","54.88721"
"2024-01-30","61.65413","2024-01-30","51.12781"
"2024-01-31","55.63909","2024-01-31","40.6015"
"2024-02-01","57.14285","2024-02-01","48.87218"
"2024-02-02","50.37593","2024-02-02","51.12781"
"2024-02-03","63.90977","2024-02-03","39.84962"
"2024-02-04","66.91729","2024-02-04","39.84962"
"2024-02-05","48.1203","2024-02-05","44.3609"
"2024-02-06","63.90977","2024-02-06","44.3609"
"2024-02-07","48.1203","2024-02-07","54.13533"
"2024-02-08","35.33834","2024-02-08","39.84962"
"2024-02-09","72.18045","2024-02-09","21.05263"
"2024-02-10","60.90225","2024-02-10","31.57894"
"2024-02-11","56.39097","2024-02-11","35.33834"
"2024-02-12","61.65413","2024-02-12","36.8421"
"2024-02-13","64.66165","2024-02-13","49.62406"
"2024-02-14","54.13533","2024-02-14","63.15789"
"2024-02-15","56.39097","2024-02-15","54.88721"
"2024-02-16","45.86466","2024-02-16","42.85714"
"2024-02-17","58.64661","2024-02-17","37.59398"
"2024-02-18","67.66917","2024-02-18","27.81954"
"2024-02-19","63.15789","2024-02-19","51.87969"
"2024-02-20","74.43609","2024-02-20","58.64661"
"2024-02-21","70.67669","2024-02-21","42.85714"
"2024-02-22","78.94736","2024-02-22","47.36842"
"2024-02-23","54.88721","2024-02-23","44.3609"
"2024-02-24","66.91729","2024-02-24","29.3233"
"2024-02-25","79.69924","2024-02-25","46.61654"
"2024-02-26","71.42857","2024-02-26","58.64661"
"2024-02-27","76.69172","2024-02-27","40.6015"
"2024-02-28","66.91729","2024-02-28","54.13533"
"2024-02-29","65.41353","2024-02-29","46.61654"
"2024-03-01","73.68421","2024-03-01","30.07518"
"2024-03-02","74.43609","2024-03-02","41.35338"
"2024-03-03","69.17293","2024-03-03","44.3609"
"2024-03-04","53.38345","2024-03-04","60.15037"
"2024-03-05","69.92481","2024-03-05","51.87969"
"2024-03-06","64.66165","2024-03-06","48.1203"
"2024-03-07","72.18045","2024-03-07","53.38345"
"2024-03-08","66.91729","2024-03-08","43.60902"
"2024-03-09","60.90225","2024-03-09","38.34586"
"2024-03-10","83.45864","2024-03-10","37.59398"
"2024-03-11","85.71428","2024-03-11","50.37593"
"2024-03-12","76.69172","2024-03-12","48.87218"
"2024-03-13","66.16541","2024-03-13","54.13533"
"2024-03-14","74.43609","2024-03-14","63.90977"
"2024-03-15","58.64661","2024-03-15","35.33834"
"2024-03-16","57.14285","2024-03-16","40.6015"
"2024-03-17","78.19548","2024-03-17","44.3609"
"2024-03-18","60.15037","2024-03-18","51.12781"
"2024-03-19","65.41353","2024-03-19","48.87218"
"2024-03-20","61.65413","2024-03-20","66.91729"
"2024-03-21","73.68421","2024-03-21","50.37593"
"2024-03-22","60.15037","2024-03-22","46.61654"
