,요양기관명_x,주소,병원홈페이지,전화번호,좌표(X),좌표(Y)
0,(복지)예사랑병원,"부산광역시 서구 옥천로130번길 38, (아미동2가)",,248-9000,129.0133103,35.0973247
1,(의)고담의료재단마더스병원,"울산광역시 남구 화합로 107, (달동)",,052-270-7000,129.3405,35.5344
2,(의)동남의료재단 동남병원,"경상남도 김해시 가야로51번길 42, (삼계동)",,055-331-0454,128.8692375,35.2728583
3,(의)성광의료재단 차움의원,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",http://www.chaum.net,02-3015-5000,127.0441055,37.5233218
4,(의)아나의료재단 강릉아나병원,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",,033-610-1100,128.9029668,37.7604484
5,(의)유일재단 하나애병원,"경기도 용인시 처인구 백옥대로916번길 48, (남동)",,031-339-1000,127.2135214,37.219342
6,(재)예수의꽃동네유지재단 인곡자애병원,"충청북도 음성군 맹동면 꽃동네길 37-0,",,043-879-0301,127.5776409,36.941804
7,(재)천주교서울대교구유지재단 전진상의원,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",,02-802-9311,126.9107378,37.4525764
8,(재단법인)한국의학연구소광주의원,"광주광역시 서구 상무중앙로 58, 타임스타워 8~10층 (치평동)",,062-602-2100,126.848919,35.1521051
9,(주)녹십자홀딩스부속의원,"경기도 용인시 기흥구 이현로30번길 107, (주)녹십자 휘트니스센터 1층 (보정동)",,031-267-8500,127.1004266,37.3177715
10,21C한일병원,"경상남도 거제시 사등면 지석로 70, 70",,055-634-0900,128.5206528,34.9015685
11,365다움의원,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",,02-2297-1755,127.0384812,37.5614086
12,365대전힐링의원,"대전광역시 동구 한밭대로 1254, 1층 101호 (용전동)",,042-721-0365,127.4359442,36.3557248
13,365연세의원,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",,02-2291-2211,127.0247865,37.5665508
14,365열린가정의학과의원,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",,02-565-7119,127.0547242,37.4973826
15,365용인바른의원,"경기도 용인시 처인구 고림로 140, 2층 (고림동)",,031-526-7555,127.2193722,37.2439795
16,365장곡편한내과의원,"경기도 시흥시 장현장곡로 2, 4층 403~405호 (장곡동)",,031-311-7553,126.7892983,37.3788623
17,365플러스내과의원,"제주특별자치도 서귀포시 일주동로 9159, 4층 (법환동)",,064-767-3650,126.5143323,33.2477
18,365휘경사랑의원,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",,02-2245-3638,127.0617848,37.5902089
19,41연세빛정신건강의학과의원,"서울특별시 양천구 목동동로 293, 현대41타워 403호 (목동)",,02-6010-7582,126.8757769,37.5281774
20,BH병원,"부산광역시 남구 수영로 165, (대연동)",,051-633-6665,129.084618,35.1348845
21,DO두신경과의원,"경상남도 통영시 무전대로 41, 101~401호 (무전동)",,055-725-7979,128.425197,34.8604052
22,Dr. 고 신경정신과의원,"서울특별시 광진구 능동로 324, 3층 (중곡동)",,02-467-6247,127.0804054,37.5583953
23,Dr.신형직의비타민정신과의원,"강원특별자치도 강릉시 경강로 2109, 6층 (임당동, 문선빌딩)",,033-645-0900,128.8972549,37.7556928
24,e-맑은정신과의원,"부산광역시 영도구 태종로 97, (대교동2가)",,051-415-5307,129.0414774,35.0917093
25,LG에너지솔루션 부속의원,"충청북도 청주시 흥덕구 옥산면 과학산업3로 29, (옥산면)",,043-219-7180,127.4182025,36.6980018
26,M병원,"대구광역시 북구 팔달로 147, (노원동3가)",,053-359-3771,128.5662077,35.8893868
27,SH통증제로신경외과의원,"경기도 의정부시 천보로 38, 4층 405호 (민락동)",,031-851-0715,127.0968731,37.7440418
28,The(더)공감 정신건강의학과의원,"경기도 수원시 장안구 경수대로 940, 일호골든타워 314-2호 (조원동)",,031-8019-8300,127.0080449,37.3031483
29,W정신건강의학과의원,"경기도 성남시 분당구 판교역로 178, 서건타워 402일부호 (삼평동)",,031-8016-6663,127.1100665,37.3965078
30,Y정신건강의학과의원,"경기도 화성시 동탄반석로 134, 302호 (반송동, 에이치원메디컬센터)",,031-8015-0415,127.0713357,37.201082
31,가경신경외과의원,"충청북도 청주시 흥덕구 강서로 122, 403호 (강서동)",,043-213-7582,127.4300781,36.6248809
32,가락마취통증의학과의원,"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",,02-406-7582,127.1164484,37.4915772
33,가람정신건강의학과의원,"서울특별시 관악구 시흥대로 552, 석천빌딩 7층 (신림동)",,02-859-8500,126.9014464,37.4821267
34,가로수정신건강의학과의원,"인천광역시 남동구 논고개로 114, 에이스타워 203호 (논현동)",,032-437-5700,126.7246687,37.4014468
35,가산성모정신건강의학과의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 516호 (가산동)",,02-6952-7551,126.8815811,37.4819131
36,가슴튼튼내과의원,"광주광역시 광산구 임방울대로 355, 5층 (수완동)",,062-961-9090,126.8234384,35.1918146
37,가야신경정신과의원,"부산광역시 사상구 가야대로 288, 202호 (주례동, 창조상가)",,051-322-1300,129.004055,35.1500801
38,가오푸른정신건강의학과의원,"대전광역시 동구 동구청로 95, 2층 201호 (가오동, 예시티)",,042-285-2700,127.456713,36.3064929
39,가온내과의원,"경상남도 창원시 성산구 가음로 88, 3~6층 (가음동)",,055-282-8511,128.703039,35.2054143
40,가온요양병원,"인천광역시 남동구 남동대로 797, 가온 요양병원 (구월동)",www.gaonhospital.co.kr,032-212-2001,126.7078003,37.453577
41,가온정신건강의학과의원,"서울특별시 광진구 아차산로 237, 삼진빌딩 4층 401호 (화양동)",,02-464-6051,127.0697556,37.5405026
42,가은병원,"경기도 부천시 소사구 마니로24번길 43-17, (송내동, 가은병원A동)",http://www.gaeunhospital.com/,032-667-0114,126.7688451,37.4774648
43,가인정신건강의학과의원,"경기도 광주시 광주대로 31, GA타워 503, 504호 (경안동)",,031-763-3267,127.2602217,37.4093602
44,가족사랑서울정신건강의학과의원,"서울특별시 동작구 보라매로 113, (대방동)",,02-812-9494,126.9279165,37.4994798
45,가족사랑서울정신건강의학과의원,"서울특별시 영등포구 당산로 222, (당산동5가)",http://www.ifamilylove.co.kr,02-2068-7486,126.9023723,37.5332737
46,가족사랑정신과의원,"대구광역시 중구 달구벌대로 2111, (덕산동)",http://www.mind-clinic.com/,053-422-7901,128.5947713,35.865575
47,가족사랑정신과의원,"서울특별시 강서구 양천로 461, 5층 (가양동)",http://www.ifamilylove.com,02-3663-5956,126.8522408,37.5630495
48,가톨릭건강의원,"대구광역시 북구 구암로 149, 2층 (동천동)",,053-313-0400,128.5571618,35.9319924
49,가톨릭관동대학교 국제성모병원,"인천광역시 서구 심곡로100번길 25-0, 인천국제성모병원",www.ish.or.kr,032-1600-8291,126.6836103,37.5424165
50,가톨릭권정형외과의원,"서울특별시 영등포구 신길로 42, 3층 (신길동)",http://,02-842-6677,126.9086461,37.4964817
51,가톨릭대학교 성빈센트병원,"경기도 수원시 팔달구 중부대로 93, (지동)",http://www.cmcvincent.or.kr/skip.html,031-1577-8588,127.0274271,37.2779855
52,가톨릭대학교 여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",http://www.cmcujb.or.kr/,1661-7575,126.9367517,37.5183253
